"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.863282180E-1,1.525542736E0,1.196299076E0,-1.713033676E0,2.587063295E0
5.888232160E-1,1.723934412E0,1.209801674E0,-1.466918468E0,2.566596918E0
5.913180790E-1,1.955680132E0,1.166018963E0,-1.242188931E0,2.593707451E0
5.938128490E-1,2.192275286E0,1.166329384E0,-1.034578323E0,2.690120344E0
5.963078470E-1,2.451107264E0,1.170559406E0,-8.338799477E-1,2.841389081E0
5.988026180E-1,2.710683107E0,1.167735100E0,-5.775208473E-1,3.007480424E0
6.012974620E-1,2.981438160E0,1.201716423E0,-2.883400917E-1,3.227419383E0
6.037924710E-1,3.262428522E0,1.278476238E0,-1.065254211E-3,3.503989510E0
6.062872420E-1,3.512311935E0,1.326416492E0,3.090519905E-1,3.767124762E0
6.087820860E-1,3.777688980E0,1.409039021E0,5.855650902E-1,4.074212987E0
6.112770860E-1,4.010928631E0,1.474212170E0,8.334002495E-1,4.353780653E0
6.137718580E-1,4.208485603E0,1.529227257E0,1.073020458E0,4.604482596E0
6.162667070E-1,4.425143719E0,1.590859890E0,1.279631615E0,4.873416583E0
6.187614780E-1,4.609171391E0,1.623072147E0,1.427461624E0,5.090822212E0
6.212564760E-1,4.829886436E0,1.578259468E0,1.559968948E0,5.315280713E0
6.237513240E-1,5.058726311E0,1.499439240E0,1.675484180E0,5.535907980E0
6.262460930E-1,5.280804157E0,1.432175159E0,1.777928829E0,5.753177310E0
6.287410810E-1,5.473541260E0,1.329422474E0,1.941370487E0,5.957846709E0
6.312358530E-1,5.602343559E0,1.268474102E0,2.155737877E0,6.135347235E0
6.337306970E-1,5.689499855E0,1.229395866E0,2.391394615E0,6.292900047E0
6.362256970E-1,5.726442337E0,1.179806709E0,2.705586910E0,6.442382031E0
6.387204680E-1,5.682476997E0,1.146131039E0,3.028874397E0,6.540507725E0
6.412152930E-1,5.603657722E0,1.098453522E0,3.355258465E0,6.623091376E0
6.437100640E-1,5.442841530E0,9.998717308E-1,3.683241367E0,6.647596134E0
6.462050620E-1,5.254354477E0,8.654794693E-1,4.037860870E0,6.682934691E0
6.486999110E-1,5.009480476E0,7.303023338E-1,4.423299789E0,6.722634690E0
6.511946800E-1,4.730987072E0,5.917673111E-1,4.787102699E0,6.756388050E0
6.536896880E-1,4.374315262E0,4.197616577E-1,5.213589191E0,6.818529615E0
6.561845360E-1,4.015006065E0,2.782840729E-1,5.627359867E0,6.918445982E0
6.586793050E-1,3.635688543E0,1.329221725E-1,6.035973549E0,7.047614928E0
