"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.247852320E-1,-6.835415363E-1,-2.435185909E-1,3.737478256E-1,8.162216446E-1
5.272803070E-1,-5.498254299E-1,-1.579947472E-1,4.182605743E-1,7.086693528E-1
5.297753880E-1,-1.845112145E-1,-3.865311146E-1,4.356489182E-1,6.109342605E-1
5.322704650E-1,5.866175890E-1,-9.975059032E-1,1.667757034E-1,1.169167378E0
5.347655420E-1,1.269328356E0,-1.972087383E0,-1.466121674E-1,2.349854942E0
5.372606190E-1,1.617922664E0,-2.108784199E0,-2.415065765E-1,2.668889276E0
5.397557060E-1,1.615603447E0,-1.822950602E0,-2.883319855E-1,2.452847066E0
5.422507830E-1,1.636348248E0,-1.537884474E0,-6.103973389E-1,2.327081682E0
5.447458600E-1,1.499532104E0,-1.123923540E0,-7.015409470E-1,2.000989844E0
5.472409370E-1,1.326920986E0,-6.786837578E-1,-8.014345169E-1,1.692225822E0
5.497360280E-1,1.171205163E0,-1.831128597E-1,-9.313735962E-1,1.507550539E0
5.522311050E-1,1.000128508E0,3.029544353E-1,-9.017152786E-1,1.380264056E0
5.547261820E-1,8.387378454E-1,6.977486610E-1,-9.118595123E-1,1.421907922E0
5.572212590E-1,7.540411949E-1,1.026739836E0,-9.592409134E-1,1.594652296E0
5.597163360E-1,6.496056318E-1,1.283427954E0,-8.894100189E-1,1.691219965E0
5.622114280E-1,5.546183586E-1,1.503517628E0,-7.699756622E-1,1.777928373E0
5.647065050E-1,4.228578210E-1,1.684654236E0,-6.403121948E-1,1.851180255E0
5.672015820E-1,3.263721168E-1,1.875582218E0,-5.316677094E-1,1.976612751E0
5.696966590E-1,1.448498219E-1,2.024350166E0,-3.930768967E-1,2.067240797E0
5.721917260E-1,1.374417245E-1,1.989326477E0,-3.202505112E-1,2.019621363E0
5.746868030E-1,3.384210467E-1,1.648970604E0,-3.234300613E-1,1.714129476E0
5.771818800E-1,6.973917484E-1,1.120214939E0,-3.867979050E-1,1.375081590E0
5.796769570E-1,1.007116079E0,5.839819908E-1,-5.462312698E-1,1.285957372E0
5.821720150E-1,1.256570101E0,1.324720383E-1,-7.566356659E-1,1.472757546E0
5.846670920E-1,1.377213001E0,-2.289059162E-1,-9.149351120E-1,1.669197361E0
5.871621690E-1,1.378499508E0,-4.569761753E-1,-1.045878410E0,1.789678677E0
5.896572460E-1,1.277334452E0,-5.565073490E-1,-1.164350986E0,1.815763462E0
5.921523230E-1,1.059633136E0,-5.557734966E-1,-1.242616177E0,1.725051166E0
5.946473860E-1,8.503328562E-1,-4.989311695E-1,-1.317547798E0,1.645579071E0
5.971422330E-1,6.300309896E-1,-4.535663128E-1,-1.393542767E0,1.595187415E0
